LocationX,LocationY,Threshold,Sensitivity
12.544418,-24.317432,0.000000,inf
42.679844,33.416267,0.000000,inf
-24.880188,-5.897813,0.000000,inf
22.931746,43.370487,0.000000,inf
-27.445181,24.740179,0.000000,inf
-49.121540,19.077465,0.000000,inf
42.095123,7.097843,0.000000,inf
3.728297,-9.945407,0.000000,inf
-14.298544,-49.275826,0.000000,inf
32.811962,35.585835,0.000000,inf
-23.659870,6.293338,0.000000,inf
-48.345703,-12.747666,0.000000,inf
-30.854668,-40.665367,0.000000,inf
50.817577,44.826645,0.000000,inf
11.676453,21.671429,0.000000,inf
-51.632366,20.609837,0.000000,inf
-12.987853,29.409061,0.000000,inf
28.682343,-35.681221,0.000000,inf
-15.880414,35.858791,0.000000,inf
48.978863,13.335327,0.000000,inf
33.072273,-53.406116,0.000000,inf
18.316460,-5.239640,0.000000,inf
26.983234,-26.197643,0.000000,inf
-48.865566,53.915543,0.000000,inf
-3.644116,14.903373,0.000000,inf
-24.999311,-27.027128,0.000000,inf
17.781380,35.671360,0.000000,inf
-4.056539,-22.866137,0.000000,inf
-4.940770,23.323330,0.000000,inf
0.162833,-50.292427,0.000000,inf
-31.357641,48.688419,0.000000,inf
29.756958,50.842072,0.000000,inf
-48.186741,-20.930143,0.000000,inf
1.495527,5.195303,0.000000,inf
34.199200,52.566505,0.000000,inf
-11.027068,39.877850,0.000000,inf
-39.476143,-16.384661,0.000000,inf
-28.904696,-21.284023,0.000000,inf
-20.630644,9.584579,0.000000,inf
49.151581,31.200735,0.000000,inf
-18.817419,4.356192,0.000000,inf
3.845642,-27.471527,0.000000,inf
-51.041759,-30.632944,0.000000,inf
-8.154675,-38.608776,0.000000,inf
27.339064,-5.379471,0.000000,inf
53.860409,-6.835380,0.000000,inf
-45.011169,36.509315,0.000000,inf
6.124567,35.098701,0.000000,inf
-13.450947,28.569458,0.000000,inf
-17.112865,46.750320,0.000000,inf
-51.552120,8.300692,0.000000,inf
-29.286757,53.011692,0.000000,inf
-44.584316,4.038916,0.000000,inf
-6.942850,29.179289,0.000000,inf
-35.936287,27.755377,0.000000,inf
-37.182293,-26.184256,0.000000,inf
-24.363174,26.752975,0.000000,inf
-50.705223,-44.707668,0.000000,inf
-3.435472,33.300594,0.000000,inf
5.058326,36.620930,0.000000,inf
-46.008339,30.872087,0.000000,inf
39.533119,-11.313158,0.000000,inf
-38.671188,-4.212910,0.000000,inf
-50.130276,27.928963,0.000000,inf
-26.861956,-31.293652,0.000000,inf
36.000843,40.395443,0.000000,inf
37.593758,-51.113365,0.000000,inf
-4.504563,-12.152954,0.000000,inf
28.150936,13.345515,0.000000,inf
-16.190746,40.879871,0.000000,inf
5.132424,28.856125,0.000000,inf
-25.504517,51.545033,0.000000,inf
31.217171,-0.421531,0.000000,inf
-1.325671,10.023693,0.000000,inf
32.535122,-13.600200,0.000000,inf
-16.498281,-27.585079,0.000000,inf
6.922798,-12.071378,0.000000,inf
40.771530,26.669374,0.000000,inf
52.631207,26.047016,0.000000,inf
35.612587,-20.872833,0.000000,inf
24.455067,-44.929508,0.000000,inf
-49.711998,-6.098992,0.000000,inf
51.814671,7.537481,0.000000,inf
-43.008759,0.042664,0.000000,inf
-16.154053,48.761513,0.000000,inf
-4.560006,-30.875408,0.000000,inf
-16.628052,-11.126093,0.000000,inf
35.178082,-3.602209,0.000000,inf
-1.971051,-17.457922,0.000000,inf
-31.235979,-45.006641,0.000000,inf
-7.211377,6.722888,0.000000,inf
-27.413435,-16.496441,0.000000,inf
3.143259,-24.938038,0.000000,inf
-27.582499,34.897781,0.000000,inf
36.204365,-19.843983,0.000000,inf
-3.035081,-46.424061,0.000000,inf
-46.976967,-48.678886,0.000000,inf
-15.404262,-25.216288,0.000000,inf
11.866609,-35.480549,0.000000,inf
-49.487797,30.297308,0.000000,inf
-27.651587,-39.571541,0.000000,inf
16.982801,47.188034,0.000000,inf
-39.695934,-29.209265,0.000000,inf
-18.201456,-17.924793,0.000000,inf
-34.524879,-43.677025,0.000000,inf
29.102282,-3.564678,0.000000,inf
-2.164704,25.872913,0.000000,inf
8.735156,-43.144455,0.000000,inf
